date,ticker,type,price,shares,amount,commission,reason
2023-09-27,9984,BUY,6379.942177734374,100,638544.2177734374,550.0,Entry 3 days before record date
2023-09-27,6098,BUY,4714.026108398437,200,943355.2216796874,550.0,Entry 3 days before record date
2023-09-27,7974,BUY,6006.270615234374,100,601177.0615234375,550.0,Entry 3 days before record date
2023-09-28,7203,BUY,2593.75528125,300,778676.584375,550.0,Add position on ex-dividend drop (0.4%)
2023-09-28,6758,BUY,2443.546283203125,400,977968.5132812499,550.0,Add position on ex-dividend drop (1.1%)
2023-09-28,9432,BUY,170.8681385192871,5800,991585.2034118652,550.0,Add position on ex-dividend drop (0.9%)
2023-09-28,9433,BUY,2190.9821044921873,400,876942.8417968749,550.0,Add position on ex-dividend drop (1.2%)
2023-09-28,4063,BUY,4208.407828125,200,842231.565625,550.0,Add position on ex-dividend drop (2.3%)
2023-09-28,9984,BUY,6262.456456054688,100,626795.6456054688,550.0,Add position on ex-dividend drop (1.5%)
2023-09-28,6098,BUY,4581.744319335938,200,916898.8638671875,550.0,Add position on ex-dividend drop (2.5%)
2023-09-29,7974,SELL,6028.761357421875,200,1205089.1077350585,663.1637493164063,Window filled (reached pre-ex price 5976)
2023-10-10,6758,SELL,2509.4432236328125,1200,3010231.868359375,1100.0,Window filled (reached pre-ex price 2467)
2023-10-11,9984,SELL,6393.937474609375,300,1917126.242699502,1054.999683310547,Window filled (reached pre-ex price 6348)
2023-10-12,7203,SELL,2615.860577636719,900,2353174.5198730472,1100.0,Window filled (reached pre-ex price 2600)
2023-10-12,4063,SELL,4375.0326923828125,600,2623919.6154296873,1100.0,Window filled (reached pre-ex price 4299)
2023-10-12,6098,SELL,4714.476467773437,600,2827585.8806640627,1100.0,Window filled (reached pre-ex price 4691)
2023-10-26,9432,SELL,164.8647239074707,17400,2867546.19598999,1100.0,Max holding period reached (20 days)
2023-10-26,8306,SELL,1166.4260227050781,1600,1865255.1814281445,1026.4548999804688,Max holding period reached (20 days)
2023-10-26,9433,SELL,2124.544885253906,1200,2548353.8623046875,1100.0,Max holding period reached (20 days)
